label,normalized_label,sample_count,unique_signers,unique_batches,avg_frame_count,median_frame_count,min_frame_count,max_frame_count,avg_left_hand_frame_pct,avg_right_hand_frame_pct,avg_both_hands_missing_frame_pct,samples_missing_stickman,samples_with_no_left_hand,samples_with_no_right_hand,samples_with_no_hands,label_flags
0,0,1,1,1,12,12,12,12,100.0,100.0,0.0,0,0,0,0,single_sample
10,10,1,1,1,23,23,23,23,78.26,91.3,8.7,0,0,0,0,single_sample
24,24,1,1,1,10,10,10,10,100.0,100.0,0.0,0,0,0,0,single_sample
4,4,1,1,1,24,24,24,24,100.0,79.17,0.0,0,0,0,0,single_sample
ACCEPT,accept,1,1,1,24,24,24,24,87.5,79.17,0.0,0,0,0,0,single_sample
ACROSS,across,1,1,1,41,41,41,41,60.98,70.73,21.95,0,0,0,0,single_sample
ACTION,action,1,1,1,33,33,33,33,87.88,87.88,0.0,0,0,0,0,single_sample
ACTIVE,active,2,2,2,39.5,39.5,26,53,61.65,55.77,26.93,0,0,0,0,low_sample_count
ADD,add,1,1,1,38,38,38,38,100.0,100.0,0.0,0,0,0,0,single_sample
ADULT,adult,1,1,1,28,28,28,28,100.0,57.14,0.0,0,0,0,0,single_sample
ADVOCATE,advocate,1,1,1,31,31,31,31,100.0,90.32,0.0,0,0,0,0,single_sample
AFFECT,affect,2,2,2,64,64.0,26,102,52.75,75.0,0.0,0,0,0,0,low_sample_count
AFRICA,africa,2,2,2,30.5,30.5,25,36,94.0,88.89,0.0,0,0,0,0,low_sample_count
AGE,age,1,1,1,24,24,24,24,100.0,79.17,0.0,0,0,0,0,single_sample
AGO,ago,1,1,1,18,18,18,18,5.56,33.33,61.11,0,0,0,0,single_sample
AHEAD,ahead,1,1,1,32,32,32,32,12.5,93.75,6.25,0,0,0,0,single_sample
ALL,all,8,8,2,34,36.5,14,48,92.66,80.68,4.67,0,0,0,0,
ALOT,alot,5,5,2,23,25,3,34,85.15,95.75,1.46,0,0,0,0,
ALSO,also,1,1,1,22,22,22,22,50.0,22.73,36.36,0,0,0,0,single_sample
ALWAYS,always,11,11,2,41.09,34,28,77,57.53,48.45,21.55,0,3,1,0,
AMERICA,america,1,1,1,51,51,51,51,88.24,78.43,5.88,0,0,0,0,single_sample
ANCESTORS,ancestors,1,1,1,46,46,46,46,63.04,56.52,4.35,0,0,0,0,single_sample
ANIMAL,animal,1,1,1,73,73,73,73,69.86,90.41,6.85,0,0,0,0,single_sample
ANNOUNCE,announce,1,1,1,28,28,28,28,7.14,3.57,89.29,0,0,0,0,single_sample
ANOTHER,another,1,1,1,26,26,26,26,0.0,92.31,7.69,0,1,0,0,single_sample
ANSWER,answer,2,2,1,31,31.0,21,41,82.92,92.8,2.44,0,0,0,0,low_sample_count
ANTONIO,antonio,1,1,1,136,136,136,136,100.0,91.18,0.0,0,0,0,0,single_sample
ANY,any,1,1,1,31,31,31,31,93.55,93.55,0.0,0,0,0,0,single_sample
APPEAR,appear,1,1,1,48,48,48,48,52.08,20.83,45.83,0,0,0,0,single_sample
APPOINTMENT,appointment,1,1,1,42,42,42,42,35.71,21.43,42.86,0,0,0,0,single_sample
ARE,are,4,4,2,30.5,30.0,27,35,50.0,97.86,2.14,0,2,0,0,
ARM,arm,2,2,1,41,41.0,18,64,45.48,86.11,13.89,0,0,0,0,low_sample_count
ARRANGE,arrange,1,1,1,49,49,49,49,100.0,100.0,0.0,0,0,0,0,single_sample
ARREAS,arreas,1,1,1,66,66,66,66,0.0,93.94,6.06,0,1,0,0,single_sample
ASK,ask,3,3,2,27.67,26,25,32,100.0,93.59,0.0,0,0,0,0,
ATIENO,atieno,1,1,1,120,120,120,120,96.67,95.83,0.0,0,0,0,0,single_sample
AUNT,aunt,1,1,1,42,42,42,42,47.62,54.76,0.0,0,0,0,0,single_sample
AVOID,avoid,1,1,1,32,32,32,32,9.38,75.0,25.0,0,0,0,0,single_sample
BABY,baby,2,2,2,55,55.0,35,75,84.0,98.57,0.0,0,0,0,0,low_sample_count
BACK,back,2,2,2,32.5,32.5,21,44,71.43,57.47,14.29,0,0,0,0,low_sample_count
BAD,bad,1,1,1,36,36,36,36,63.89,58.33,0.0,0,0,0,0,single_sample
BAG,bag,2,2,2,31,31.0,20,42,59.88,80.35,8.69,0,0,0,0,low_sample_count
BASIC,basic,1,1,1,45,45,45,45,100.0,100.0,0.0,0,0,0,0,single_sample
BEAUTIFUL,beautiful,2,2,1,35.5,35.5,34,37,50.0,55.96,26.47,0,1,0,0,low_sample_count
BECAUSE,because,1,1,1,19,19,19,19,0.0,78.95,21.05,0,1,0,0,single_sample
BEFORE,before,2,2,1,45,45.0,31,59,85.59,86.44,0.0,0,0,0,0,low_sample_count
BEHAVIOR,behavior,1,1,1,36,36,36,36,100.0,100.0,0.0,0,0,0,0,single_sample
BENEATH,beneath,1,1,1,61,61,61,61,100.0,100.0,0.0,0,0,0,0,single_sample
BERRET,berret,1,1,1,23,23,23,23,95.65,73.91,0.0,0,0,0,0,single_sample
BEST,best,2,2,2,30.5,30.5,27,34,91.17,89.7,5.88,0,0,0,0,low_sample_count
BETRAY,betray,1,1,1,39,39,39,39,100.0,97.44,0.0,0,0,0,0,single_sample
BETTER,better,1,1,1,35,35,35,35,100.0,74.29,0.0,0,0,0,0,single_sample
BIG,big,9,9,2,33,29,19,48,71.94,90.12,6.15,0,0,0,0,
BIRTH,birth,1,1,1,31,31,31,31,41.94,29.03,41.94,0,0,0,0,single_sample
BLACK,black,2,2,2,36,36.0,33,39,48.95,83.69,6.06,0,0,0,0,low_sample_count
BLANKET,blanket,2,2,1,58,58.0,58,58,40.52,35.34,38.8,0,0,0,0,low_sample_count
BLAZER,blazer,1,1,1,22,22,22,22,63.64,77.27,4.55,0,0,0,0,single_sample
BLEED,bleed,1,1,1,22,22,22,22,100.0,90.91,0.0,0,0,0,0,single_sample
BLESSING,blessing,1,1,1,40,40,40,40,80.0,87.5,10.0,0,0,0,0,single_sample
BODY,body,2,2,1,33,33.0,32,34,64.89,92.47,3.12,0,0,0,0,low_sample_count
BOLT,bolt,1,1,1,26,26,26,26,100.0,0.0,0.0,0,0,1,0,single_sample
BOOK,book,7,7,2,39.57,27,16,105,82.48,91.83,4.24,0,0,0,0,
BOOKS,books,3,3,1,48,33,30,81,77.94,83.37,5.56,0,0,0,0,
BORING,boring,1,1,1,31,31,31,31,19.35,100.0,0.0,0,0,0,0,single_sample
BORN,born,2,2,1,32.5,32.5,13,52,61.54,13.46,33.66,0,0,1,0,low_sample_count
BOSS,boss,2,2,2,29,29.0,26,32,90.75,47.84,9.25,0,0,0,0,low_sample_count
BOTH,both,1,1,1,10,10,10,10,0.0,40.0,60.0,0,1,0,0,single_sample
BOTTOM,bottom,1,1,1,118,118,118,118,100.0,99.15,0.0,0,0,0,0,single_sample
BOY,boy,6,6,2,35.5,39.0,25,42,62.08,82.96,12.66,0,2,0,0,
BOY THAT,boythat,2,2,1,48.5,48.5,44,53,100.0,96.59,0.0,0,0,0,0,contains_space;contains_unexpected_characters;low_sample_count
BOYS,boys,1,1,1,23,23,23,23,82.61,78.26,17.39,0,0,0,0,single_sample
BRAIN,brain,1,1,1,49,49,49,49,100.0,95.92,0.0,0,0,0,0,single_sample
BREAD,bread,1,1,1,30,30,30,30,90.0,90.0,0.0,0,0,0,0,single_sample
BREAK,break,2,2,1,20,20.0,11,29,54.38,39.66,38.72,0,0,1,0,low_sample_count
BRIDE,bride,3,3,2,68.33,65,62,78,94.87,85.81,1.28,0,0,0,0,
BRIDEGROOM,bridegroom,1,1,1,62,62,62,62,96.77,82.26,0.0,0,0,0,0,single_sample
BRIEF,brief,1,1,1,45,45,45,45,0.0,82.22,17.78,0,1,0,0,single_sample
BRIGHT,bright,1,1,1,63,63,63,63,100.0,96.83,0.0,0,0,0,0,single_sample
BRING,bring,3,3,2,28.33,28,23,34,66.21,73.38,12.0,0,0,0,0,
BROAD,broad,1,1,1,31,31,31,31,80.65,0.0,19.35,0,0,1,0,single_sample
BROTHER,brother,2,2,1,32,32.0,29,35,90.83,93.99,1.73,0,0,0,0,low_sample_count
BULB,bulb,1,1,1,41,41,41,41,100.0,95.12,0.0,0,0,0,0,single_sample
BUS,bus,1,1,1,17,17,17,17,64.71,0.0,35.29,0,0,1,0,single_sample
BUY,buy,6,6,2,36,32.5,26,61,93.37,77.7,2.51,0,0,0,0,
BY,by,1,1,1,8,8,8,8,87.5,100.0,0.0,0,0,0,0,single_sample
BYE,bye,1,1,1,8,8,8,8,12.5,100.0,0.0,0,0,0,0,single_sample
CAKE,cake,1,1,1,51,51,51,51,94.12,98.04,1.96,0,0,0,0,single_sample
CALM,calm,1,1,1,32,32,32,32,100.0,100.0,0.0,0,0,0,0,single_sample
CAN,can,1,1,1,29,29,29,29,100.0,100.0,0.0,0,0,0,0,single_sample
CANE,cane,1,1,1,69,69,69,69,100.0,98.55,0.0,0,0,0,0,single_sample
CAPTAIN,captain,1,1,1,16,16,16,16,50.0,62.5,25.0,0,0,0,0,single_sample
CAR,car,5,5,2,34,28,22,47,67.18,87.79,11.47,0,1,0,0,
CARE,care,2,2,2,43.5,43.5,39,48,58.34,60.98,35.41,0,0,0,0,low_sample_count
CARRY,carry,2,2,2,33,33.0,32,34,78.4,67.56,15.62,0,0,0,0,low_sample_count
CASECASS,casecass,1,1,1,60,60,60,60,93.33,0.0,6.67,0,0,1,0,single_sample
CASHEWNUTS,cashewnuts,1,1,1,36,36,36,36,72.22,91.67,8.33,0,0,0,0,single_sample
CASSAVA,cassava,1,1,1,27,27,27,27,100.0,92.59,0.0,0,0,0,0,single_sample
CAT,cat,1,1,1,35,35,35,35,100.0,100.0,0.0,0,0,0,0,single_sample
CELEBRATE,celebrate,1,1,1,45,45,45,45,77.78,62.22,20.0,0,0,0,0,single_sample
