batch,signer_id,label,normalized_label,landmark_path,stickman_video_path,has_stickman_video,frame_count,first_pose_points,first_left_hand_points,first_right_hand_points,first_face_points,pose_frame_pct,left_hand_frame_pct,right_hand_frame_pct,face_frame_pct,both_hands_missing_frame_pct,sample_flags
Batch 1,196,ALWAYS,always,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/ALWAYS.mp4,True,51,33,0,0,468,100.0,84.31,43.14,100.0,3.92,
Batch 1,196,BERRET,berret,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/BERRET.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/BERRET.mp4,True,23,33,21,0,468,100.0,95.65,73.91,100.0,0.0,
Batch 1,196,BETTER,better,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/BETTER.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/BETTER.mp4,True,35,33,21,0,468,100.0,100.0,74.29,100.0,0.0,
Batch 1,196,BLACK,black,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/BLACK.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/BLACK.mp4,True,39,33,21,0,468,100.0,94.87,79.49,100.0,0.0,
Batch 1,196,BLAZER,blazer,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/BLAZER.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/BLAZER.mp4,True,22,33,21,0,468,100.0,63.64,77.27,100.0,4.55,
Batch 1,196,BORN,born,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/BORN.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/BORN.mp4,True,52,33,0,21,468,100.0,84.62,26.92,100.0,5.77,
Batch 1,196,BOYS,boys,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/BOYS.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/BOYS.mp4,True,23,33,21,21,468,100.0,82.61,78.26,100.0,17.39,
Batch 1,196,CARRY,carry,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/CARRY.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/CARRY.mp4,True,32,33,0,0,468,100.0,65.62,46.88,100.0,31.25,
Batch 1,196,COAT,coat,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/COAT.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/COAT.mp4,True,30,33,21,21,468,100.0,83.33,83.33,100.0,13.33,
Batch 1,196,COME,come,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/COME.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/COME.mp4,True,20,33,21,0,468,100.0,85.0,5.0,100.0,15.0,
Batch 1,196,DAUGHTER,daughter,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/DAUGHTER.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/DAUGHTER.mp4,True,52,33,21,0,468,100.0,100.0,15.38,100.0,0.0,
Batch 1,196,DRESS,dress,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/DRESS.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/DRESS.mp4,True,38,33,21,0,468,100.0,55.26,10.53,100.0,44.74,
Batch 1,196,FELIX,felix,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/FELIX.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/FELIX.mp4,True,64,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,196,HAVE,have,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/HAVE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/HAVE.mp4,True,25,33,0,0,468,100.0,64.0,48.0,100.0,36.0,
Batch 1,196,HER,her,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/HER.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/HER.mp4,True,18,33,21,21,468,100.0,100.0,55.56,100.0,0.0,
Batch 1,196,LAB,lab,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/LAB.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/LAB.mp4,True,31,33,21,21,468,100.0,80.65,54.84,100.0,16.13,
Batch 1,196,LEG,leg,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/LEG.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/LEG.mp4,True,40,33,21,21,468,100.0,80.0,7.5,100.0,17.5,
Batch 1,196,LIKE,like,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/LIKE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/LIKE.mp4,True,36,33,21,21,468,100.0,100.0,69.44,100.0,0.0,
Batch 1,196,LOVE,love,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/LOVE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/LOVE.mp4,True,31,33,0,0,468,100.0,16.13,83.87,100.0,16.13,
Batch 1,196,MAKE,make,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/MAKE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/MAKE.mp4,True,30,33,21,21,468,100.0,66.67,53.33,100.0,33.33,
Batch 1,196,MAURINE,maurine,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/MAURINE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/MAURINE.mp4,True,96,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,196,MINE,mine,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/MINE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/MINE.mp4,True,25,33,21,0,468,100.0,100.0,84.0,100.0,0.0,
Batch 1,196,MOTHER,mother,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/MOTHER.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/MOTHER.mp4,True,37,33,21,0,468,100.0,100.0,27.03,100.0,0.0,
Batch 1,196,MUST,must,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/MUST.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/MUST.mp4,True,27,33,21,21,468,100.0,100.0,51.85,100.0,0.0,
Batch 1,196,NIGHT,night,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/NIGHT.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/NIGHT.mp4,True,51,33,0,0,468,100.0,76.47,54.9,100.0,9.8,
Batch 1,196,NOTHING,nothing,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/NOTHING.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/NOTHING.mp4,True,30,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,196,PEOPLE,people,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/PEOPLE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/PEOPLE.mp4,True,41,33,21,21,468,100.0,87.8,36.59,100.0,9.76,
Batch 1,196,SCIENCE,science,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/SCIENCE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/SCIENCE.mp4,True,38,33,21,21,468,100.0,92.11,94.74,100.0,5.26,
Batch 1,196,SCOUT,scout,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/SCOUT.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/SCOUT.mp4,True,43,33,0,21,468,100.0,90.7,79.07,100.0,0.0,
Batch 1,196,SMART,smart,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/SMART.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/SMART.mp4,True,24,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,196,STRONG,strong,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/STRONG.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/STRONG.mp4,True,33,33,0,0,468,100.0,33.33,3.03,100.0,63.64,
Batch 1,196,TEACHER,teacher,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TEACHER.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TEACHER.mp4,True,26,33,0,21,468,100.0,76.92,100.0,100.0,0.0,
Batch 1,196,TIE,tie,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TIE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TIE.mp4,True,35,33,21,21,468,100.0,91.43,88.57,100.0,0.0,
Batch 1,196,TREE,tree,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TREE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TREE.mp4,True,18,33,21,0,468,100.0,94.44,66.67,100.0,0.0,
Batch 1,196,TRUE,true,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TRUE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TRUE.mp4,True,25,33,0,0,468,100.0,52.0,0.0,100.0,48.0,right_hand_missing_all_frames
Batch 1,196,TSHIRT,tshirt,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TSHIRT.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TSHIRT.mp4,True,30,33,0,0,468,100.0,86.67,76.67,100.0,13.33,
Batch 1,196,WEAR,wear,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/WEAR.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/WEAR.mp4,True,35,33,21,21,468,100.0,100.0,71.43,100.0,0.0,
Batch 1,196,WHITE,white,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/WHITE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/WHITE.mp4,True,44,33,21,21,468,100.0,97.73,61.36,100.0,0.0,
Batch 1,196,WISH,wish,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/WISH.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/WISH.mp4,True,27,33,21,0,468,100.0,92.59,88.89,100.0,0.0,
Batch 1,198,LEGUMES,legumes,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/LEGUMES.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/LEGUMES.mp4,True,30,33,21,0,468,100.0,100.0,10.0,100.0,0.0,
Batch 1,198,LOVE,love,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/LOVE.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/LOVE.mp4,True,23,33,0,21,468,100.0,0.0,39.13,100.0,60.87,left_hand_missing_all_frames
Batch 1,198,SWEET,sweet,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/SWEET.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/SWEET.mp4,True,24,33,0,21,468,100.0,91.67,20.83,100.0,0.0,
Batch 1,198,TYPE,type,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/TYPE.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/TYPE.mp4,True,34,33,0,0,468,100.0,58.82,35.29,100.0,35.29,
Batch 1,198,UGALI,ugali,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/UGALI.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/UGALI.mp4,True,36,33,0,0,468,100.0,47.22,27.78,100.0,41.67,
Batch 1,198,YOU,you,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/YOU.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/YOU.mp4,True,10,33,21,0,468,100.0,60.0,30.0,100.0,40.0,short_sequence
Batch 1,201,ADULT,adult,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/ADULT.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/ADULT.mp4,True,28,33,21,21,468,100.0,100.0,57.14,100.0,0.0,
Batch 1,201,AFRICA,africa,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/AFRICA.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/AFRICA.mp4,True,25,33,0,21,468,100.0,88.0,100.0,100.0,0.0,
Batch 1,201,AGE,age,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/AGE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/AGE.mp4,True,24,33,21,0,468,100.0,100.0,79.17,100.0,0.0,
Batch 1,201,ALWAYS,always,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/ALWAYS.mp4,True,29,33,21,0,468,100.0,100.0,6.9,100.0,0.0,
Batch 1,201,ANCESTORS,ancestors,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/ANCESTORS.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/ANCESTORS.mp4,True,46,33,21,21,468,100.0,63.04,56.52,100.0,4.35,
Batch 1,201,BORN,born,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/BORN.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/BORN.mp4,True,13,33,0,0,468,100.0,38.46,0.0,100.0,61.54,right_hand_missing_all_frames
Batch 1,201,BREAK,break,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/BREAK.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/BREAK.mp4,True,29,33,0,21,468,100.0,72.41,79.31,100.0,13.79,
Batch 1,201,CELEBRATE,celebrate,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/CELEBRATE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/CELEBRATE.mp4,True,45,33,21,0,468,100.0,77.78,62.22,100.0,20.0,
Batch 1,201,CHINESE,chinese,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/CHINESE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/CHINESE.mp4,True,96,33,0,21,468,100.0,97.92,95.83,100.0,0.0,
Batch 1,201,CROSS,cross,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/CROSS.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/CROSS.mp4,True,21,33,21,0,468,100.0,90.48,14.29,100.0,9.52,
Batch 1,201,DATE,date,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/DATE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/DATE.mp4,True,19,33,0,21,468,100.0,63.16,100.0,100.0,0.0,
Batch 1,201,DAY,day,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/DAY.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/DAY.mp4,True,22,33,21,0,468,100.0,95.45,81.82,100.0,0.0,
Batch 1,201,EVENING,evening,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/EVENING.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/EVENING.mp4,True,18,33,21,21,468,100.0,77.78,77.78,100.0,16.67,
Batch 1,201,FATHER,father,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/FATHER.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/FATHER.mp4,True,17,33,21,0,468,100.0,100.0,64.71,100.0,0.0,
Batch 1,201,FIANCEE,fiancee,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/FIANCEE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/FIANCEE.mp4,True,21,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,201,GO,go,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/GO.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/GO.mp4,True,20,33,21,0,468,100.0,100.0,35.0,100.0,0.0,
Batch 1,201,GOOD,good,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/GOOD.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/GOOD.mp4,True,31,33,21,21,468,100.0,64.52,61.29,100.0,22.58,
Batch 1,201,HAVE,have,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/HAVE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/HAVE.mp4,True,13,33,0,0,468,100.0,61.54,76.92,100.0,23.08,
Batch 1,201,HELP,help,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/HELP.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/HELP.mp4,True,21,33,21,0,468,100.0,66.67,47.62,100.0,28.57,
Batch 1,201,HER,her,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/HER.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/HER.mp4,True,20,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,201,HIS,his,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/HIS.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/HIS.mp4,True,23,33,21,21,468,100.0,82.61,78.26,100.0,17.39,
Batch 1,201,HOUSE,house,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/HOUSE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/HOUSE.mp4,True,54,33,0,21,468,100.0,16.67,70.37,100.0,27.78,
Batch 1,201,JOSHUA,joshua,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/JOSHUA.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/JOSHUA.mp4,True,66,33,21,21,468,100.0,100.0,93.94,100.0,0.0,
Batch 1,201,LADY,lady,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/LADY.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/LADY.mp4,True,26,33,21,21,468,100.0,100.0,84.62,100.0,0.0,
Batch 1,201,LIVE,live,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/LIVE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/LIVE.mp4,True,25,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,201,MANY,many,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/MANY.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/MANY.mp4,True,24,33,21,21,468,100.0,100.0,95.83,100.0,0.0,
Batch 1,201,ME,me,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/ME.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/ME.mp4,True,16,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
Batch 1,201,MEMORISE,memorise,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/MEMORISE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/MEMORISE.mp4,True,28,33,21,0,468,100.0,100.0,71.43,100.0,0.0,
Batch 1,201,MINE,mine,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/MINE.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/MINE.mp4,True,20,33,0,0,468,100.0,95.0,90.0,100.0,5.0,
Batch 1,201,MIRIAM,miriam,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/MIRIAM.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/MIRIAM.mp4,True,63,33,21,21,468,100.0,100.0,100.0,100.0,0.0,
