decision_id,scope,source_report,priority,current_label,normalized_label,sample_count,batch,signer_id,landmark_path,stickman_video_path,frame_count,left_hand_frame_pct,right_hand_frame_pct,both_hands_missing_frame_pct,label_flags,sample_flags,issue_flags,recommended_action,selected_action,target_label,review_status,notes
label::.mp4,label,suspicious_labels.csv,high,.mp4,mp4,9,Batch 1,196,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/.mp4.mp4,49,73.47,14.29,22.45,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_or_drop_label,drop_label,,pending,"filename-like label, not a valid KSL gloss"
sample::KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 1,196,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/.mp4.mp4,49,73.47,14.29,22.45,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 1/208/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 1,208,KSL-Dataset/Pose Data/Batch 1/208/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/208/Extract/Stickmans/.mp4.mp4,52,94.23,100.0,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/.mp4.mp4,26,100.0,0.0,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,right_hand_missing_all_frames,sample:right_hand_missing_all_frames;label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 2,112,KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/112/Extract/Stickmans/.mp4.mp4,52,100.0,90.38,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 2,149,KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/149/Extract/Stickmans/.mp4.mp4,21,85.71,76.19,4.76,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 2/161/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 2,161,KSL-Dataset/Pose Data/Batch 2/161/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/161/Extract/Stickmans/.mp4.mp4,19,100.0,100.0,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 2/166/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 2,166,KSL-Dataset/Pose Data/Batch 2/166/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/166/Extract/Stickmans/.mp4.mp4,85,100.0,100.0,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 2/65/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 2,65,KSL-Dataset/Pose Data/Batch 2/65/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/65/Extract/Stickmans/.mp4.mp4,48,100.0,100.0,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 2/76/Extract/Landmarks/.mp4.npy,sample,review_candidates.csv,high,.mp4,mp4,9,Batch 2,76,KSL-Dataset/Pose Data/Batch 2/76/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/76/Extract/Stickmans/.mp4.mp4,33,100.0,51.52,0.0,starts_with_period;looks_like_filename;contains_period;not_uppercase;contains_unexpected_characters,,label:starts_with_period;label:looks_like_filename;label:contains_period;label:not_uppercase;label:contains_unexpected_characters,rename_label_or_drop_sample,drop_sample,,pending,filename-like label; sample dropped until correct gloss is known
sample::KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/CANCEL.npy,sample,review_candidates.csv,high,CANCEL,cancel,1,Batch 1,238,KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/CANCEL.npy,KSL-Dataset/Pose Data/Batch 1/238/Extract/Stickmans/CANCEL.mp4,27,0.0,0.0,100.0,single_sample,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample:left_hand_missing_all_frames;sample:right_hand_missing_all_frames;sample:both_hands_missing_all_frames;label:single_sample,drop_or_reextract_sample,drop_sample,,pending,both hands missing across all frames
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/DO.npy,sample,review_candidates.csv,high,DO,do,1,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/DO.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/DO.mp4,17,0.0,0.0,100.0,single_sample,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample:left_hand_missing_all_frames;sample:right_hand_missing_all_frames;sample:both_hands_missing_all_frames;label:single_sample,drop_or_reextract_sample,drop_sample,,pending,both hands missing across all frames
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/FINISH.npy,sample,review_candidates.csv,high,FINISH,finish,5,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/FINISH.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/FINISH.mp4,20,0.0,0.0,100.0,,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample:left_hand_missing_all_frames;sample:right_hand_missing_all_frames;sample:both_hands_missing_all_frames,drop_or_reextract_sample,drop_sample,,pending,both hands missing across all frames
sample::KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/PAST.npy,sample,review_candidates.csv,high,PAST,past,23,Batch 1,251,KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/PAST.npy,KSL-Dataset/Pose Data/Batch 1/251/Extract/Stickmans/PAST.mp4,40,0.0,0.0,100.0,,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample:left_hand_missing_all_frames;sample:right_hand_missing_all_frames;sample:both_hands_missing_all_frames,drop_or_reextract_sample,drop_sample,,pending,both hands missing across all frames
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/TELL.npy,sample,review_candidates.csv,high,TELL,tell,2,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/TELL.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/TELL.mp4,13,0.0,0.0,100.0,low_sample_count,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample:left_hand_missing_all_frames;sample:right_hand_missing_all_frames;sample:both_hands_missing_all_frames;label:low_sample_count,drop_or_reextract_sample,drop_sample,,pending,both hands missing across all frames
label::BOY THAT,label,suspicious_labels.csv,medium,BOY THAT,boythat,2,Batch 2,154,KSL-Dataset/Pose Data/Batch 2/154/Extract/Landmarks/BOY THAT.npy,KSL-Dataset/Pose Data/Batch 2/154/Extract/Stickmans/BOY THAT.mp4,53,100.0,100.0,0.0,contains_space;contains_unexpected_characters;low_sample_count,,label:contains_space;label:contains_unexpected_characters;label:low_sample_count,rename_label_review,keep,,pending,multiword or non-standard label; keep for now and review naming later
label::NICE TWIST,label,suspicious_labels.csv,medium,NICE TWIST,nicetwist,1,Batch 2,76,KSL-Dataset/Pose Data/Batch 2/76/Extract/Landmarks/NICE TWIST.npy,KSL-Dataset/Pose Data/Batch 2/76/Extract/Stickmans/NICE TWIST.mp4,39,74.36,64.1,23.08,contains_space;contains_unexpected_characters;single_sample,,label:contains_space;label:contains_unexpected_characters;label:single_sample,rename_label_review,keep,,pending,multiword or non-standard label; keep for now and review naming later
sample::KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/24.npy,sample,review_candidates.csv,medium,24,24,1,Batch 2,112,KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/24.npy,KSL-Dataset/Pose Data/Batch 2/112/Extract/Stickmans/24.mp4,10,100.0,100.0,0.0,single_sample,short_sequence,sample:short_sequence;label:single_sample,review_short_sequence,keep,,pending,short sequence flagged; keep unless playback looks truncated
sample::KSL-Dataset/Pose Data/Batch 2/131/Extract/Landmarks/ALOT.npy,sample,review_candidates.csv,medium,ALOT,alot,5,Batch 2,131,KSL-Dataset/Pose Data/Batch 2/131/Extract/Landmarks/ALOT.npy,KSL-Dataset/Pose Data/Batch 2/131/Extract/Stickmans/ALOT.mp4,3,100.0,100.0,0.0,,short_sequence,sample:short_sequence,review_short_sequence,keep,,pending,short sequence flagged; keep unless playback looks truncated
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/ALWAYS.npy,sample,review_candidates.csv,medium,ALWAYS,always,11,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/ALWAYS.mp4,28,0.0,14.29,85.71,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/208/Extract/Landmarks/ALWAYS.npy,sample,review_candidates.csv,medium,ALWAYS,always,11,Batch 1,208,KSL-Dataset/Pose Data/Batch 1/208/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/208/Extract/Stickmans/ALWAYS.mp4,29,0.0,31.03,68.97,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/234/Extract/Landmarks/ALWAYS.npy,sample,review_candidates.csv,medium,ALWAYS,always,11,Batch 1,234,KSL-Dataset/Pose Data/Batch 1/234/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/234/Extract/Stickmans/ALWAYS.mp4,34,0.0,88.24,11.76,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/ALWAYS.npy,sample,review_candidates.csv,medium,ALWAYS,always,11,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/ALWAYS.mp4,33,33.33,0.0,66.67,,right_hand_missing_all_frames,sample:right_hand_missing_all_frames,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/ANOTHER.npy,sample,review_candidates.csv,medium,ANOTHER,another,1,Batch 2,149,KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/ANOTHER.npy,KSL-Dataset/Pose Data/Batch 2/149/Extract/Stickmans/ANOTHER.mp4,26,0.0,92.31,7.69,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/ARE.npy,sample,review_candidates.csv,medium,ARE,are,4,Batch 1,251,KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/ARE.npy,KSL-Dataset/Pose Data/Batch 1/251/Extract/Stickmans/ARE.mp4,35,0.0,91.43,8.57,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/ARE.npy,sample,review_candidates.csv,medium,ARE,are,4,Batch 2,149,KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/ARE.npy,KSL-Dataset/Pose Data/Batch 2/149/Extract/Stickmans/ARE.mp4,27,0.0,100.0,0.0,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/ARREAS.npy,sample,review_candidates.csv,medium,ARREAS,arreas,1,Batch 1,238,KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/ARREAS.npy,KSL-Dataset/Pose Data/Batch 1/238/Extract/Stickmans/ARREAS.mp4,66,0.0,93.94,6.06,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/BEAUTIFUL.npy,sample,review_candidates.csv,medium,BEAUTIFUL,beautiful,2,Batch 1,251,KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/BEAUTIFUL.npy,KSL-Dataset/Pose Data/Batch 1/251/Extract/Stickmans/BEAUTIFUL.mp4,34,0.0,47.06,52.94,low_sample_count,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:low_sample_count,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/129/Extract/Landmarks/BECAUSE.npy,sample,review_candidates.csv,medium,BECAUSE,because,1,Batch 2,129,KSL-Dataset/Pose Data/Batch 2/129/Extract/Landmarks/BECAUSE.npy,KSL-Dataset/Pose Data/Batch 2/129/Extract/Stickmans/BECAUSE.mp4,19,0.0,78.95,21.05,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/BOLT.npy,sample,review_candidates.csv,medium,BOLT,bolt,1,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/BOLT.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/BOLT.mp4,26,100.0,0.0,0.0,single_sample,right_hand_missing_all_frames,sample:right_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
