batch,signer_id,label,landmark_path,stickman_video_path,frame_count,left_hand_frame_pct,right_hand_frame_pct,both_hands_missing_frame_pct,sample_flags
Batch 1,196,STRONG,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/STRONG.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/STRONG.mp4,33,33.33,3.03,63.64,
Batch 1,196,TRUE,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TRUE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TRUE.mp4,25,52.0,0.0,48.0,right_hand_missing_all_frames
Batch 1,198,LOVE,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/LOVE.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/LOVE.mp4,23,0.0,39.13,60.87,left_hand_missing_all_frames
Batch 1,201,BORN,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/BORN.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/BORN.mp4,13,38.46,0.0,61.54,right_hand_missing_all_frames
Batch 1,201,NIGHT,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/NIGHT.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/NIGHT.mp4,14,42.86,28.57,57.14,
Batch 1,204,AGO,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/AGO.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/AGO.mp4,18,5.56,33.33,61.11,
Batch 1,204,ALWAYS,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/ALWAYS.mp4,28,0.0,14.29,85.71,left_hand_missing_all_frames
Batch 1,204,ANNOUNCE,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/ANNOUNCE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/ANNOUNCE.mp4,28,7.14,3.57,89.29,
Batch 1,204,BOTH,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BOTH.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BOTH.mp4,10,0.0,40.0,60.0,short_sequence;left_hand_missing_all_frames
Batch 1,204,BRIEF,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BRIEF.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BRIEF.mp4,45,0.0,82.22,17.78,left_hand_missing_all_frames
Batch 1,204,CAR,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/CAR.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/CAR.mp4,22,0.0,68.18,31.82,left_hand_missing_all_frames
Batch 1,204,CLEAN,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/CLEAN.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/CLEAN.mp4,18,22.22,16.67,66.67,
Batch 1,204,DO,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/DO.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/DO.mp4,17,0.0,0.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames
Batch 1,204,EARDRUM,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/EARDRUM.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/EARDRUM.mp4,70,0.0,100.0,0.0,left_hand_missing_all_frames
Batch 1,204,FRIENDS,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/FRIENDS.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/FRIENDS.mp4,26,3.85,46.15,50.0,
Batch 1,204,FUTURE,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/FUTURE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/FUTURE.mp4,17,5.88,23.53,70.59,
Batch 1,204,GOOD,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/GOOD.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/GOOD.mp4,10,30.0,20.0,50.0,short_sequence
Batch 1,204,HE,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/HE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/HE.mp4,19,0.0,84.21,15.79,left_hand_missing_all_frames
Batch 1,204,HER,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/HER.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/HER.mp4,15,0.0,46.67,53.33,left_hand_missing_all_frames
Batch 1,204,HIS,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/HIS.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/HIS.mp4,18,0.0,61.11,38.89,left_hand_missing_all_frames
Batch 1,204,HOUSE,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/HOUSE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/HOUSE.mp4,8,0.0,25.0,75.0,short_sequence;left_hand_missing_all_frames
Batch 1,204,IDEA,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/IDEA.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/IDEA.mp4,14,0.0,42.86,57.14,left_hand_missing_all_frames
Batch 1,204,INTERNET,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/INTERNET.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/INTERNET.mp4,24,25.0,4.17,70.83,
