batch,signer_id,label,landmark_path,stickman_video_path,frame_count,left_hand_frame_pct,right_hand_frame_pct,both_hands_missing_frame_pct,sample_flags
Batch 1,196,.mp4,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/.mp4.mp4,49,73.47,14.29,22.45,
Batch 1,196,TRUE,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/TRUE.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/TRUE.mp4,25,52.0,0.0,48.0,right_hand_missing_all_frames
Batch 1,198,LOVE,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/LOVE.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/LOVE.mp4,23,0.0,39.13,60.87,left_hand_missing_all_frames
Batch 1,198,YOU,KSL-Dataset/Pose Data/Batch 1/198/Extract/Landmarks/YOU.npy,KSL-Dataset/Pose Data/Batch 1/198/Extract/Stickmans/YOU.mp4,10,60.0,30.0,40.0,short_sequence
Batch 1,201,BORN,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/BORN.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/BORN.mp4,13,38.46,0.0,61.54,right_hand_missing_all_frames
Batch 1,201,MOTHER,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/MOTHER.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/MOTHER.mp4,9,77.78,88.89,0.0,short_sequence
Batch 1,201,OLD,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/OLD.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/OLD.mp4,7,57.14,71.43,14.29,short_sequence
Batch 1,204,ALWAYS,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/ALWAYS.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/ALWAYS.mp4,28,0.0,14.29,85.71,left_hand_missing_all_frames
Batch 1,204,BOTH,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BOTH.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BOTH.mp4,10,0.0,40.0,60.0,short_sequence;left_hand_missing_all_frames
Batch 1,204,BRIEF,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BRIEF.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BRIEF.mp4,45,0.0,82.22,17.78,left_hand_missing_all_frames
Batch 1,204,BYE,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BYE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BYE.mp4,8,12.5,100.0,0.0,short_sequence
Batch 1,204,CAR,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/CAR.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/CAR.mp4,22,0.0,68.18,31.82,left_hand_missing_all_frames
Batch 1,204,DO,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/DO.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/DO.mp4,17,0.0,0.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames
Batch 1,204,EARDRUM,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/EARDRUM.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/EARDRUM.mp4,70,0.0,100.0,0.0,left_hand_missing_all_frames
Batch 1,204,GOOD,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/GOOD.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/GOOD.mp4,10,30.0,20.0,50.0,short_sequence
Batch 1,204,HE,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/HE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/HE.mp4,19,0.0,84.21,15.79,left_hand_missing_all_frames
